================================================================================
CUMULATIVE TIME (includes subcalls)
================================================================================
         4485398 function calls (4479293 primitive calls) in 9.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.504    9.504 /Users/jeff/experiments/network_flow_solver/src/network_solver/solver.py:13(solve_min_cost_flow)
        1    0.185    0.185    9.400    9.400 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:1380(solve)
        2    0.024    0.012    9.158    4.579 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:1047(_run_simplex_iterations)
     1204    0.183    0.000    6.928    0.006 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:1114(_pivot)
     1179    1.752    0.001    2.900    0.002 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:68(rebuild)
     1205    0.003    0.000    2.130    0.002 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:1017(_find_entering_arc)
     1205    0.004    0.000    2.127    0.002 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex_pricing.py:187(select_entering_arc)
     1205    0.182    0.000    2.123    0.002 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex_pricing.py:310(_select_entering_arc_vectorized)
     1176    1.267    0.001    1.739    0.001 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:1040(_update_tree_sets)
     3650    0.392    0.000    1.616    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/core/forrest_tomlin.py:116(solve)
     1204    0.024    0.000    1.212    0.001 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex_pricing.py:271(_update_weight)
     2408    0.036    0.000    1.200    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:211(project_column)
     1204    0.818    0.001    1.154    0.001 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:113(collect_cycle)
        1    0.000    0.000    0.849    0.849 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:344(_compile_for_args)
        1    0.000    0.000    0.767    0.767 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:862(compile)
        1    0.000    0.000    0.766    0.766 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/caching.py:713(load_overload)
    247/1    0.001    0.000    0.756    0.756 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/base.py:261(refresh)
     1205    0.167    0.000    0.724    0.001 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:497(_select_entering_arc_vectorized)
  1246287    0.498    0.000    0.498    0.000 {method 'append' of 'list' objects}
4678/4466    0.013    0.000    0.495    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      117    0.058    0.000    0.492    0.004 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:255(estimate_condition_number)
    90/42    0.001    0.000    0.479    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
    88/40    0.001    0.000    0.475    0.012 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1176    0.030    0.000    0.471    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:315(replace_arc)
   232/46    0.000    0.000    0.470    0.010 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      247    0.009    0.000    0.469    0.002 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/cpu.py:60(load_additional_registries)
    87/40    0.001    0.000    0.467    0.012 <frozen importlib._bootstrap>:911(_load_unlocked)
    85/40    0.001    0.000    0.464    0.012 <frozen importlib._bootstrap_external>:993(exec_module)
  1046007    0.437    0.000    0.437    0.000 {method 'append' of 'collections.deque' objects}
    55/34    0.000    0.000    0.427    0.013 {built-in method builtins.__import__}
     1176    0.080    0.000    0.423    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/core/forrest_tomlin.py:152(update)
    85/40    0.001    0.000    0.411    0.010 {built-in method builtins.exec}
     1205    0.405    0.000    0.405    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:467(_compute_reduced_costs_vectorized)
   981521    0.380    0.000    0.380    0.000 {method 'popleft' of 'collections.deque' objects}
       21    0.067    0.003    0.372    0.018 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis.py:156(_build_numeric_basis)
    247/1    0.001    0.000    0.370    0.370 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/context.py:232(refresh)
     3650    0.015    0.000    0.328    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis_lu.py:48(solve_lu)
     3650    0.306    0.000    0.306    0.000 {method 'solve' of 'SuperLU' objects}
   607279    0.283    0.000    0.283    0.000 {method 'add' of 'set' objects}
     2435    0.164    0.000    0.253    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:2623(norm)
       42    0.001    0.000    0.243    0.006 /Users/jeff/experiments/network_flow_solver/src/network_solver/basis_lu.py:24(build_lu)
    247/1    0.002    0.000    0.223    0.223 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/context.py:482(_load_builtins)
   2223/9    0.018    0.000    0.215    0.024 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/context.py:495(install_registry)
      246    0.001    0.000    0.198    0.001 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1054(__init__)
      247    0.004    0.000    0.195    0.001 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/context.py:811(load_additional_registries)
      239    0.002    0.000    0.192    0.001 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1100(_init_once)
      246    0.002    0.000    0.186    0.001 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:907(_get_target_registry)
       21    0.000    0.000    0.172    0.008 /Users/jeff/experiments/network_flow_solver/src/network_solver/core/forrest_tomlin.py:92(__init__)
       42    0.001    0.000    0.166    0.004 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py:30(__init__)
       42    0.004    0.000    0.156    0.004 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/scipy/sparse/_coo.py:30(__init__)
       42    0.139    0.003    0.139    0.003 {method 'nonzero' of 'numpy.ndarray' objects}
     1012    0.008    0.000    0.112    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/extending.py:137(decorate)
       85    0.002    0.000    0.112    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
     5263    0.105    0.000    0.105    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.001    0.001    0.104    0.104 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:99(__init__)
     3791    0.097    0.000    0.097    0.000 {built-in method numpy.array}
      248    0.000    0.000    0.082    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/entrypoints.py:11(init_all)
        1    0.000    0.000    0.082    0.082 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/dispatcher.py:237(_compilation_chain_init_hook)
        1    0.000    0.000    0.081    0.081 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/cpython/charseq.py:1(<module>)
        1    0.000    0.000    0.081    0.081 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:901(entry_points)
      128    0.000    0.000    0.080    0.001 /usr/local/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/__init__.py:910(<genexpr>)
     1204    0.074    0.000    0.074    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:427(_sync_node_potentials)
     1205    0.071    0.000    0.072    0.000 /Users/jeff/experiments/network_flow_solver/src/network_solver/simplex.py:483(_compute_residuals_vectorized)
     1012    0.022    0.000    0.072    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:887(make_overload_template)
     1235    0.070    0.000    0.071    0.000 /Users/jeff/experiments/network_flow_solver/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1258(register_global)
